
NODES = 50
2139 22 42
2140 42 22
2141 22 43
2142 43 22
2143 22 44
2144 44 22
2145 22 45
2146 45 22
2147 22 46
2148 46 22
2149 22 47
2150 47 22
2151 22 48
2152 48 22
2153 22 49
2154 49 22
2155 22 50
2156 50 22
2157 23 1
2158 1 23
2159 23 2
2160 2 23
2161 23 3
2162 3 23
2163 23 4
2164 4 23
2165 23 5
2166 5 23
2167 23 6
2168 6 23
2169 23 7
2170 7 23
2171 23 8
2172 8 23
2173 23 9
2174 9 23
2175 23 10
2176 10 23
2177 23 11
2178 11 23
2179 23 12
2180 12 23
2181 23 13
2182 13 23
2183 23 14
2184 14 23
2185 23 15
2186 15 23
2187 23 16
2188 16 23
2189 23 17
2190 17 23
2191 23 18
2192 18 23
2193 23 19
2194 19 23
2195 23 20
2196 20 23
2197 23 21
2198 21 23
2199 23 22
2200 22 23
2201 23 24
2202 24 23
2203 23 25
2204 25 23
2205 23 26
2206 26 23
2207 23 27
2208 27 23
2209 23 28
2210 28 23
2211 23 29
2212 29 23
2213 23 30
2214 30 23
2215 23 31
2216 31 23
2217 23 32
2218 32 23
2219 23 33
2220 33 23
2221 23 34
2222 34 23
2223 23 35
2224 35 23
2225 23 36
2226 36 23
2227 23 37
2228 37 23
2229 23 38
2230 38 23
2231 23 39
2232 39 23
2233 23 40
2234 40 23
2235 23 41
2236 41 23
2237 23 42
2238 42 23
2239 23 43
2240 43 23
2241 23 44
2242 44 23
2243 23 45
2244 45 23
2245 23 46
2246 46 23
2247 23 47
2248 47 23
2249 23 48
2250 48 23
2251 23 49
2252 49 23
2253 23 50
2254 50 23
2255 24 1
2256 1 24
2257 24 2
2258 2 24
2259 24 3
2260 3 24
2261 24 4
2262 4 24
2263 24 5
2264 5 24
2265 24 6
2266 6 24
2267 24 7
2268 7 24
2269 24 8
2270 8 24
2271 24 9
2272 9 24
2273 24 10
2274 10 24
2275 24 11
2276 11 24
2277 24 12
2278 12 24
2279 24 13
2280 13 24
2281 24 14
2282 14 24
2283 24 15
2284 15 24
2285 24 16
2286 16 24
2287 24 17
2288 17 24
2289 24 18
2290 18 24
2291 24 19
2292 19 24
2293 24 20
2294 20 24
2295 24 21
2296 21 24
2297 24 22
2298 22 24
2299 24 23
2300 23 24
2301 24 25
2302 25 24
2303 24 26
2304 26 24
2305 24 27
2306 27 24
2307 24 28
2308 28 24
2309 24 29
2310 29 24
2311 24 30
2312 30 24
2313 24 31
2314 31 24
2315 24 32
2316 32 24
2317 24 33
2318 33 24
2319 24 34
2320 34 24
2321 24 35
2322 35 24
2323 24 36
2324 36 24
2325 24 37
2326 37 24
2327 24 38
2328 38 24
2329 24 39
2330 39 24
2331 24 40
2332 40 24
2333 24 41
2334 41 24
2335 24 42
2336 42 24
2337 24 43
2338 43 24
2339 24 44
2340 44 24
2341 24 45
2342 45 24
2343 24 46
2344 46 24
2345 24 47
2346 47 24
2347 24 48
2348 48 24
2349 24 49
2350 49 24
2351 24 50
2352 50 24
2353 25 1
2354 1 25
2355 25 2
2356 2 25
2357 25 3
2358 3 25
2359 25 4
2360 4 25
2361 25 5
2362 5 25
2363 25 6
2364 6 25
2365 25 7
2366 7 25
2367 25 8
2368 8 25
2369 25 9
2370 9 25
2371 25 10
2372 10 25
2373 25 11
2374 11 25
2375 25 12
2376 12 25
2377 25 13
2378 13 25
2379 25 14
2380 14 25
2381 25 15
2382 15 25
2383 25 16
2384 16 25
2385 25 17
2386 17 25
2387 25 18
2388 18 25
2389 25 19
2390 19 25
2391 25 20
2392 20 25
2393 25 21
2394 21 25
2395 25 22
2396 22 25
2397 25 23
2398 23 25
2399 25 24
2400 24 25
2401 25 26
2402 26 25
2403 25 27
2404 27 25
2405 25 28
2406 28 25
2407 25 29
2408 29 25
2409 25 30
2410 30 25
2411 25 31
2412 31 25
2413 25 32
2414 32 25
2415 25 33
2416 33 25
2417 25 34
2418 34 25
2419 25 35
2420 35 25
2421 25 36
2422 36 25
2423 25 37
2424 37 25
2425 25 38
2426 38 25
2427 25 39
2428 39 25
2429 25 40
2430 40 25
2431 25 41
2432 41 25
2433 25 42
2434 42 25
2435 25 43
2436 43 25
2437 25 44
2438 44 25
2439 25 45
2440 45 25
2441 25 46
2442 46 25
2443 25 47
2444 47 25
2445 25 48
2446 48 25
2447 25 49
2448 49 25
2449 25 50
2450 50 25
2451 26 1
2452 1 26
2453 26 2
2454 2 26
2455 26 3
2456 3 26
2457 26 4
2458 4 26
2459 26 5
2460 5 26
2461 26 6
2462 6 26
2463 26 7
2464 7 26
2465 26 8
2466 8 26
2467 26 9
2468 9 26
2469 26 10
2470 10 26
2471 26 11
2472 11 26
2473 26 12
2474 12 26
2475 26 13
2476 13 26
2477 26 14
2478 14 26
2479 26 15
2480 15 26
2481 26 16
2482 16 26
2483 26 17
2484 17 26
2485 26 18
2486 18 26
2487 26 19
2488 19 26
2489 26 20
2490 20 26
2491 26 21
2492 21 26
2493 26 22
2494 22 26
2495 26 23
2496 23 26
2497 26 24
2498 24 26
2499 26 25
2500 25 26
2501 26 27
2502 27 26
2503 26 28
2504 28 26
2505 26 29
2506 29 26
2507 26 30
2508 30 26
2509 26 31
2510 31 26
2511 26 32
2512 32 26
2513 26 33
2514 33 26
2515 26 34
2516 34 26
2517 26 35
2518 35 26
2519 26 36
2520 36 26
2521 26 37
2522 37 26
2523 26 38
2524 38 26
2525 26 39
2526 39 26
2527 26 40
2528 40 26
2529 26 41
2530 41 26
2531 26 42
2532 42 26
2533 26 43
2534 43 26
2535 26 44
2536 44 26
2537 26 45
2538 45 26
2539 26 46
2540 46 26
2541 26 47
2542 47 26
2543 26 48
2544 48 26
2545 26 49
2546 49 26
2547 26 50
2548 50 26
2549 27 1
2550 1 27
2551 27 2
2552 2 27
2553 27 3
2554 3 27
2555 27 4
2556 4 27
2557 27 5
2558 5 27
2559 27 6
2560 6 27
2561 27 7
2562 7 27
2563 27 8
2564 8 27
2565 27 9
2566 9 27
2567 27 10
2568 10 27
2569 27 11
2570 11 27
2571 27 12
2572 12 27
2573 27 13
2574 13 27
2575 27 14
2576 14 27
2577 27 15
2578 15 27
2579 27 16
2580 16 27
2581 27 17
2582 17 27
2583 27 18
2584 18 27
2585 27 19
2586 19 27
2587 27 20
2588 20 27
2589 27 21
2590 21 27
2591 27 22
2592 22 27
2593 27 23
2594 23 27
2595 27 24
2596 24 27
2597 27 25
2598 25 27
2599 27 26
2600 26 27
2601 27 28
2602 28 27
2603 27 29
2604 29 27
2605 27 30
2606 30 27
2607 27 31
2608 31 27
2609 27 32
2610 32 27
2611 27 33
2612 33 27
2613 27 34
2614 34 27
2615 27 35
2616 35 27
2617 27 36
2618 36 27
2619 27 37
2620 37 27
2621 27 38
2622 38 27
2623 27 39
2624 39 27
2625 27 40
2626 40 27
2627 27 41
2628 41 27
2629 27 42
2630 42 27
2631 27 43
2632 43 27
2633 27 44
2634 44 27
2635 27 45
2636 45 27
2637 27 46
2638 46 27
2639 27 47
2640 47 27
2641 27 48
2642 48 27
2643 27 49
2644 49 27
2645 27 50
2646 50 27
2647 28 1
2648 1 28
2649 28 2
2650 2 28
2651 28 3
2652 3 28
2653 28 4
2654 4 28
2655 28 5
2656 5 28
2657 28 6
2658 6 28
2659 28 7
2660 7 28
2661 28 8
2662 8 28
2663 28 9
2664 9 28
2665 28 10
2666 10 28
2667 28 11
2668 11 28
2669 28 12
2670 12 28
2671 28 13
2672 13 28
2673 28 14
2674 14 28
2675 28 15
2676 15 28
2677 28 16
2678 16 28
2679 28 17
2680 17 28
2681 28 18
2682 18 28
2683 28 19
2684 19 28
2685 28 20
2686 20 28
2687 28 21
2688 21 28
2689 28 22
2690 22 28
2691 28 23
2692 23 28
2693 28 24
2694 24 28
2695 28 25
2696 25 28
2697 28 26
2698 26 28
2699 28 27
2700 27 28
2701 28 29
2702 29 28
2703 28 30
2704 30 28
2705 28 31
2706 31 28
2707 28 32
2708 32 28
2709 28 33
2710 33 28
2711 28 34
2712 34 28
2713 28 35
2714 35 28
2715 28 36
2716 36 28
2717 28 37
2718 37 28
2719 28 38
2720 38 28
2721 28 39
2722 39 28
2723 28 40
2724 40 28
2725 28 41
2726 41 28
2727 28 42
2728 42 28
2729 28 43
2730 43 28
2731 28 44
2732 44 28
2733 28 45
2734 45 28
2735 28 46
2736 46 28
2737 28 47
2738 47 28
2739 28 48
2740 48 28
2741 28 49
2742 49 28
2743 28 50
2744 50 28
2745 29 1
2746 1 29
2747 29 2
2748 2 29
2749 29 3
2750 3 29
2751 29 4
2752 4 29
2753 29 5
2754 5 29
2755 29 6
2756 6 29
2757 29 7
2758 7 29
2759 29 8
2760 8 29
2761 29 9
2762 9 29
2763 29 10
2764 10 29
2765 29 11
2766 11 29
2767 29 12
2768 12 29
2769 29 13
2770 13 29
2771 29 14
2772 14 29
2773 29 15
2774 15 29
2775 29 16
2776 16 29
2777 29 17
2778 17 29
2779 29 18
2780 18 29
2781 29 19
2782 19 29
2783 29 20
2784 20 29
2785 29 21
2786 21 29
2787 29 22
2788 22 29
2789 29 23
2790 23 29
2791 29 24
2792 24 29
2793 29 25
2794 25 29
2795 29 26
2796 26 29
2797 29 27
2798 27 29
2799 29 28
2800 28 29
2801 29 30
2802 30 29
2803 29 31
2804 31 29
2805 29 32
2806 32 29
2807 29 33
2808 33 29
2809 29 34
2810 34 29
2811 29 35
2812 35 29
2813 29 36
2814 36 29
2815 29 37
2816 37 29
2817 29 38
2818 38 29
2819 29 39
2820 39 29
2821 29 40
2822 40 29
2823 29 41
2824 41 29
2825 29 42
2826 42 29
2827 29 43
2828 43 29
2829 29 44
2830 44 29
2831 29 45
2832 45 29
2833 29 46
2834 46 29
2835 29 47
2836 47 29
2837 29 48
2838 48 29
2839 29 49
2840 49 29
2841 29 50
2842 50 29
2843 30 1
2844 1 30
2845 30 2
2846 2 30
2847 30 3
2848 3 30
2849 30 4
2850 4 30
2851 30 5
2852 5 30
2853 30 6
2854 6 30
2855 30 7
2856 7 30
2857 30 8
2858 8 30
2859 30 9
2860 9 30
2861 30 10
2862 10 30
2863 30 11
2864 11 30
2865 30 12
2866 12 30
2867 30 13
2868 13 30
2869 30 14
2870 14 30
2871 30 15
2872 15 30
2873 30 16
2874 16 30
2875 30 17
2876 17 30
2877 30 18
2878 18 30
2879 30 19
2880 19 30
2881 30 20
2882 20 30
2883 30 21
2884 21 30
2885 30 22
2886 22 30
2887 30 23
2888 23 30
2889 30 24
2890 24 30
2891 30 25
2892 25 30
2893 30 26
2894 26 30
2895 30 27
2896 27 30
2897 30 28
2898 28 30
2899 30 29
2900 29 30
2901 30 31
2902 31 30
2903 30 32
2904 32 30
2905 30 33
2906 33 30
2907 30 34
2908 34 30
2909 30 35
2910 35 30
2911 30 36
2912 36 30
2913 30 37
2914 37 30
2915 30 38
2916 38 30
2917 30 39
2918 39 30
2919 30 40
2920 40 30
2921 30 41
2922 41 30
2923 30 42
2924 42 30
2925 30 43
2926 43 30
2927 30 44
2928 44 30
2929 30 45
2930 45 30
2931 30 46
2932 46 30
2933 30 47
2934 47 30
2935 30 48
2936 48 30
2937 30 49
2938 49 30
2939 30 50
2940 50 30
2941 31 1
2942 1 31
2943 31 2
2944 2 31
2945 31 3
2946 3 31
2947 31 4
2948 4 31
2949 31 5
2950 5 31
2951 31 6
2952 6 31
2953 31 7
2954 7 31
2955 31 8
2956 8 31
2957 31 9
2958 9 31
2959 31 10
2960 10 31
2961 31 11
2962 11 31
2963 31 12
2964 12 31
2965 31 13
2966 13 31
2967 31 14
2968 14 31
2969 31 15
2970 15 31
2971 31 16
2972 16 31
2973 31 17
2974 17 31
2975 31 18
2976 18 31
2977 31 19
2978 19 31
2979 31 20
2980 20 31
2981 31 21
2982 21 31
2983 31 22
2984 22 31
2985 31 23
2986 23 31
2987 31 24
2988 24 31
2989 31 25
2990 25 31
2991 31 26
2992 26 31
2993 31 27
2994 27 31
2995 31 28
2996 28 31
2997 31 29
2998 29 31
2999 31 30
3000 30 31
3001 31 32
3002 32 31
3003 31 33
3004 33 31
3005 31 34
3006 34 31
3007 31 35
3008 35 31
3009 31 36
3010 36 31
3011 31 37
3012 37 31
3013 31 38
3014 38 31
3015 31 39
3016 39 31
3017 31 40
3018 40 31
3019 31 41
3020 41 31
3021 31 42
3022 42 31
3023 31 43
3024 43 31
3025 31 44
3026 44 31
3027 31 45
3028 45 31
3029 31 46
3030 46 31
3031 31 47
3032 47 31
3033 31 48
3034 48 31
3035 31 49
3036 49 31
3037 31 50
3038 50 31
3039 32 1
3040 1 32
3041 32 2
3042 2 32
3043 32 3
3044 3 32
3045 32 4
3046 4 32
3047 32 5
3048 5 32
3049 32 6
3050 6 32
3051 32 7
3052 7 32
3053 32 8
3054 8 32
3055 32 9
3056 9 32
3057 32 10
3058 10 32
3059 32 11
3060 11 32
3061 32 12
3062 12 32
3063 32 13
3064 13 32
3065 32 14
3066 14 32
3067 32 15
3068 15 32
3069 32 16
3070 16 32
3071 32 17
3072 17 32
3073 32 18
3074 18 32
3075 32 19
3076 19 32
3077 32 20
3078 20 32
3079 32 21
3080 21 32
3081 32 22
3082 22 32
3083 32 23
3084 23 32
3085 32 24
3086 24 32
3087 32 25
3088 25 32
3089 32 26
3090 26 32
3091 32 27
3092 27 32
3093 32 28
3094 28 32
3095 32 29
3096 29 32
3097 32 30
3098 30 32
3099 32 31
3100 31 32
3101 32 33
3102 33 32
3103 32 34
3104 34 32
3105 32 35
3106 35 32
3107 32 36
3108 36 32
3109 32 37
3110 37 32
3111 32 38
3112 38 32
3113 32 39
3114 39 32
3115 32 40
3116 40 32
3117 32 41
3118 41 32
3119 32 42
3120 42 32
3121 32 43
3122 43 32
3123 32 44
3124 44 32
3125 32 45
3126 45 32
3127 32 46
3128 46 32
3129 32 47
3130 47 32
3131 32 48
3132 48 32
3133 32 49
3134 49 32
3135 32 50
3136 50 32
3137 33 1
3138 1 33
3139 33 2
3140 2 33
3141 33 3
3142 3 33
3143 33 4
3144 4 33
3145 33 5
3146 5 33
3147 33 6
3148 6 33
3149 33 7
3150 7 33
3151 33 8
3152 8 33
3153 33 9
3154 9 33
3155 33 10
3156 10 33
3157 33 11
3158 11 33
3159 33 12
3160 12 33
3161 33 13
3162 13 33
3163 33 14
3164 14 33
3165 33 15
3166 15 33
3167 33 16
3168 16 33
3169 33 17
3170 17 33
3171 33 18
3172 18 33
3173 33 19
3174 19 33
3175 33 20
3176 20 33
3177 33 21
3178 21 33
3179 33 22
3180 22 33
3181 33 23
3182 23 33
3183 33 24
3184 24 33
3185 33 25
3186 25 33
3187 33 26
3188 26 33
3189 33 27
3190 27 33
3191 33 28
3192 28 33
3193 33 29
3194 29 33
3195 33 30
3196 30 33
3197 33 31
3198 31 33
3199 33 32
3200 32 33
3201 33 34
3202 34 33
3203 33 35
3204 35 33
3205 33 36
3206 36 33
3207 33 37
3208 37 33
3209 33 38
3210 38 33
3211 33 39
3212 39 33
3213 33 40
3214 40 33
3215 33 41
3216 41 33
3217 33 42
3218 42 33
3219 33 43
3220 43 33
3221 33 44
3222 44 33
3223 33 45
3224 45 33
3225 33 46
3226 46 33
3227 33 47
3228 47 33
3229 33 48
3230 48 33
3231 33 49
3232 49 33
3233 33 50
3234 50 33
3235 34 1
3236 1 34
3237 34 2
3238 2 34
3239 34 3
3240 3 34
3241 34 4
3242 4 34
3243 34 5
3244 5 34
3245 34 6
3246 6 34
3247 34 7
3248 7 34
3249 34 8
3250 8 34
3251 34 9
3252 9 34
3253 34 10
3254 10 34
3255 34 11
3256 11 34
3257 34 12
3258 12 34
3259 34 13
3260 13 34
3261 34 14
3262 14 34
3263 34 15
3264 15 34
3265 34 16
3266 16 34
3267 34 17
3268 17 34
3269 34 18
3270 18 34
3271 34 19
3272 19 34
3273 34 20
3274 20 34
3275 34 21
3276 21 34
3277 34 22
3278 22 34
3279 34 23
3280 23 34
3281 34 24
3282 24 34
3283 34 25
3284 25 34
3285 34 26
3286 26 34
3287 34 27
3288 27 34
3289 34 28
3290 28 34
3291 34 29
3292 29 34
3293 34 30
3294 30 34
3295 34 31
3296 31 34
3297 34 32
3298 32 34
3299 34 33
3300 33 34
3301 34 35
3302 35 34
3303 34 36
3304 36 34
3305 34 37
3306 37 34
3307 34 38
3308 38 34
3309 34 39
3310 39 34
3311 34 40
3312 40 34
3313 34 41
3314 41 34
3315 34 42
3316 42 34
3317 34 43
3318 43 34
3319 34 44
3320 44 34
3321 34 45
3322 45 34
3323 34 46
3324 46 34
3325 34 47
3326 47 34
3327 34 48
3328 48 34
3329 34 49
3330 49 34
3331 34 50
3332 50 34
3333 35 1
3334 1 35
3335 35 2
3336 2 35
3337 35 3
3338 3 35
3339 35 4
3340 4 35
3341 35 5
3342 5 35
3343 35 6
3344 6 35
3345 35 7
3346 7 35
3347 35 8
3348 8 35
3349 35 9
3350 9 35
3351 35 10
3352 10 35
3353 35 11
3354 11 35
3355 35 12
3356 12 35
3357 35 13
3358 13 35
3359 35 14
3360 14 35
3361 35 15
3362 15 35
3363 35 16
3364 16 35
3365 35 17
3366 17 35
3367 35 18
3368 18 35
3369 35 19
3370 19 35
3371 35 20
3372 20 35
3373 35 21
3374 21 35
3375 35 22
3376 22 35
3377 35 23
3378 23 35
3379 35 24
3380 24 35
3381 35 25
3382 25 35
3383 35 26
3384 26 35
3385 35 27
3386 27 35
3387 35 28
3388 28 35
3389 35 29
3390 29 35
3391 35 30
3392 30 35
3393 35 31
3394 31 35
3395 35 32
3396 32 35
3397 35 33
3398 33 35
3399 35 34
3400 34 35
3401 35 36
3402 36 35
3403 35 37
3404 37 35
3405 35 38
3406 38 35
3407 35 39
3408 39 35
3409 35 40
3410 40 35
3411 35 41
3412 41 35
3413 35 42
3414 42 35
3415 35 43
3416 43 35
3417 35 44
3418 44 35
3419 35 45
3420 45 35
3421 35 46
3422 46 35
3423 35 47
3424 47 35
3425 35 48
3426 48 35
3427 35 49
3428 49 35
3429 35 50
3430 50 35
3431 36 1
3432 1 36
3433 36 2
3434 2 36
3435 36 3
3436 3 36
3437 36 4
3438 4 36
3439 36 5
3440 5 36
3441 36 6
3442 6 36
3443 36 7
3444 7 36
3445 36 8
3446 8 36
3447 36 9
3448 9 36
3449 36 10
3450 10 36
3451 36 11
3452 11 36
3453 36 12
3454 12 36
3455 36 13
3456 13 36
3457 36 14
3458 14 36
3459 36 15
3460 15 36
3461 36 16
3462 16 36
3463 36 17
3464 17 36
3465 36 18
3466 18 36
3467 36 19
3468 19 36
3469 36 20
3470 20 36
3471 36 21
3472 21 36
3473 36 22
3474 22 36
3475 36 23
3476 23 36
3477 36 24
3478 24 36
3479 36 25
3480 25 36
3481 36 26
3482 26 36
3483 36 27
3484 27 36
3485 36 28
3486 28 36
3487 36 29
3488 29 36
3489 36 30
3490 30 36
3491 36 31
3492 31 36
3493 36 32
3494 32 36
3495 36 33
3496 33 36
3497 36 34
3498 34 36
3499 36 35
3500 35 36
3501 36 37
3502 37 36
3503 36 38
3504 38 36
3505 36 39
3506 39 36
3507 36 40
3508 40 36
3509 36 41
3510 41 36
3511 36 42
3512 42 36
3513 36 43
3514 43 36
3515 36 44
3516 44 36
3517 36 45
3518 45 36
3519 36 46
3520 46 36
3521 36 47
3522 47 36
3523 36 48
3524 48 36
3525 36 49
3526 49 36
3527 36 50
3528 50 36
3529 37 1
3530 1 37
3531 37 2
3532 2 37
3533 37 3
3534 3 37
3535 37 4
3536 4 37
3537 37 5
3538 5 37
3539 37 6
3540 6 37
3541 37 7
3542 7 37
3543 37 8
3544 8 37
3545 37 9
3546 9 37
3547 37 10
3548 10 37
3549 37 11
3550 11 37
3551 37 12
3552 12 37
3553 37 13
3554 13 37
3555 37 14
3556 14 37
3557 37 15
3558 15 37
3559 37 16
3560 16 37
3561 37 17
3562 17 37
3563 37 18
3564 18 37
3565 37 19
3566 19 37
3567 37 20
3568 20 37
3569 37 21
3570 21 37
3571 37 22
3572 22 37
3573 37 23
3574 23 37
3575 37 24
3576 24 37
3577 37 25
3578 25 37
3579 37 26
3580 26 37
3581 37 27
3582 27 37
3583 37 28
3584 28 37
3585 37 29
3586 29 37
3587 37 30
3588 30 37
3589 37 31
3590 31 37
3591 37 32
3592 32 37
3593 37 33
3594 33 37
3595 37 34
3596 34 37
3597 37 35
3598 35 37
3599 37 36
3600 36 37
3601 37 38
3602 38 37
3603 37 39
3604 39 37
3605 37 40
3606 40 37
3607 37 41
3608 41 37
3609 37 42
3610 42 37
3611 37 43
3612 43 37
3613 37 44
3614 44 37
3615 37 45
3616 45 37
3617 37 46
3618 46 37
3619 37 47
3620 47 37
3621 37 48
3622 48 37
3623 37 49
3624 49 37
3625 37 50
3626 50 37
3627 38 1
3628 1 38
3629 38 2
3630 2 38
3631 38 3
3632 3 38
3633 38 4
3634 4 38
3635 38 5
3636 5 38
3637 38 6
3638 6 38
3639 38 7
3640 7 38
3641 38 8
3642 8 38
3643 38 9
3644 9 38
3645 38 10
3646 10 38
3647 38 11
3648 11 38
3649 38 12
3650 12 38
3651 38 13
3652 13 38
3653 38 14
3654 14 38
3655 38 15
3656 15 38
3657 38 16
3658 16 38
3659 38 17
3660 17 38
3661 38 18
3662 18 38
3663 38 19
3664 19 38
3665 38 20
3666 20 38
3667 38 21
3668 21 38
3669 38 22
3670 22 38
3671 38 23
3672 23 38
3673 38 24
3674 24 38
3675 38 25
3676 25 38
3677 38 26
3678 26 38
3679 38 27
3680 27 38
3681 38 28
3682 28 38
3683 38 29
3684 29 38
3685 38 30
3686 30 38
3687 38 31
3688 31 38
3689 38 32
3690 32 38
3691 38 33
3692 33 38
3693 38 34
3694 34 38
3695 38 35
3696 35 38
3697 38 36
3698 36 38
3699 38 37
3700 37 38
3701 38 39
3702 39 38
3703 38 40
3704 40 38
3705 38 41
3706 41 38
3707 38 42
3708 42 38
3709 38 43
3710 43 38
3711 38 44
3712 44 38
3713 38 45
3714 45 38
3715 38 46
3716 46 38
3717 38 47
3718 47 38
3719 38 48
3720 48 38
3721 38 49
3722 49 38
3723 38 50
3724 50 38
3725 39 1
3726 1 39
3727 39 2
3728 2 39
3729 39 3
3730 3 39
3731 39 4
3732 4 39
3733 39 5
3734 5 39
3735 39 6
3736 6 39
3737 39 7
3738 7 39
3739 39 8
3740 8 39
3741 39 9
3742 9 39
3743 39 10
3744 10 39
3745 39 11
3746 11 39
3747 39 12
3748 12 39
3749 39 13
3750 13 39
3751 39 14
3752 14 39
3753 39 15
3754 15 39
3755 39 16
3756 16 39
3757 39 17
3758 17 39
3759 39 18
3760 18 39
3761 39 19
3762 19 39
3763 39 20
3764 20 39
3765 39 21
3766 21 39
3767 39 22
3768 22 39
3769 39 23
3770 23 39
3771 39 24
3772 24 39
3773 39 25
3774 25 39
3775 39 26
3776 26 39
3777 39 27
3778 27 39
3779 39 28
3780 28 39
3781 39 29
3782 29 39
3783 39 30
3784 30 39
3785 39 31
3786 31 39
3787 39 32
3788 32 39
3789 39 33
3790 33 39
3791 39 34
3792 34 39
3793 39 35
3794 35 39
3795 39 36
3796 36 39
3797 39 37
3798 37 39
3799 39 38
3800 38 39
3801 39 40
3802 40 39
3803 39 41
3804 41 39
3805 39 42
3806 42 39
3807 39 43
3808 43 39
3809 39 44
3810 44 39
3811 39 45
3812 45 39
3813 39 46
3814 46 39
3815 39 47
3816 47 39
3817 39 48
3818 48 39
3819 39 49
3820 49 39
3821 39 50
3822 50 39
3823 40 1
3824 1 40
3825 40 2
3826 2 40
3827 40 3
3828 3 40
3829 40 4
3830 4 40
3831 40 5
3832 5 40
3833 40 6
3834 6 40
3835 40 7
3836 7 40
3837 40 8
3838 8 40
3839 40 9
3840 9 40
3841 40 10
3842 10 40
3843 40 11
3844 11 40
3845 40 12
3846 12 40
3847 40 13
3848 13 40
3849 40 14
3850 14 40
3851 40 15
3852 15 40
3853 40 16
3854 16 40
3855 40 17
3856 17 40
3857 40 18
3858 18 40
3859 40 19
3860 19 40
3861 40 20
3862 20 40
3863 40 21
3864 21 40
3865 40 22
3866 22 40
3867 40 23
3868 23 40
3869 40 24
3870 24 40
3871 40 25
3872 25 40
3873 40 26
3874 26 40
3875 40 27
3876 27 40
3877 40 28
3878 28 40
3879 40 29
3880 29 40
3881 40 30
3882 30 40
3883 40 31
3884 31 40
3885 40 32
3886 32 40
3887 40 33
3888 33 40
3889 40 34
3890 34 40
3891 40 35
3892 35 40
3893 40 36
3894 36 40
3895 40 37
3896 37 40
3897 40 38
3898 38 40
3899 40 39
3900 39 40
3901 40 41
3902 41 40
3903 40 42
3904 42 40
3905 40 43
3906 43 40
3907 40 44
3908 44 40
3909 40 45
3910 45 40
3911 40 46
3912 46 40
3913 40 47
3914 47 40
3915 40 48
3916 48 40
3917 40 49
3918 49 40
3919 40 50
3920 50 40
3921 41 1
3922 1 41
3923 41 2
3924 2 41
3925 41 3
3926 3 41
3927 41 4
3928 4 41
3929 41 5
3930 5 41
3931 41 6
3932 6 41
3933 41 7
3934 7 41
3935 41 8
3936 8 41
3937 41 9
3938 9 41
3939 41 10
3940 10 41
3941 41 11
3942 11 41
3943 41 12
3944 12 41
3945 41 13
3946 13 41
3947 41 14
3948 14 41
3949 41 15
3950 15 41
3951 41 16
3952 16 41
3953 41 17
3954 17 41
3955 41 18
3956 18 41
3957 41 19
3958 19 41
3959 41 20
3960 20 41
3961 41 21
3962 21 41
3963 41 22
3964 22 41
3965 41 23
3966 23 41
3967 41 24
3968 24 41
3969 41 25
3970 25 41
3971 41 26
3972 26 41
3973 41 27
3974 27 41
3975 41 28
3976 28 41
3977 41 29
3978 29 41
3979 41 30
3980 30 41
3981 41 31
3982 31 41
3983 41 32
3984 32 41
3985 41 33
3986 33 41
3987 41 34
3988 34 41
3989 41 35
3990 35 41
3991 41 36
3992 36 41
3993 41 37
3994 37 41
3995 41 38
3996 38 41
3997 41 39
3998 39 41
3999 41 40
4000 40 41
4001 41 42
4002 42 41
4003 41 43
4004 43 41
4005 41 44
4006 44 41
4007 41 45
4008 45 41
4009 41 46
4010 46 41
4011 41 47
4012 47 41
4013 41 48
4014 48 41
4015 41 49
4016 49 41
4017 41 50
4018 50 41
4019 42 1
4020 1 42
4021 42 2
4022 2 42
4023 42 3
4024 3 42
4025 42 4
4026 4 42
4027 42 5
4028 5 42
4029 42 6
4030 6 42
4031 42 7
4032 7 42
4033 42 8
4034 8 42
4035 42 9
4036 9 42
4037 42 10
4038 10 42
4039 42 11
4040 11 42
4041 42 12
4042 12 42
4043 42 13
4044 13 42
4045 42 14
4046 14 42
4047 42 15
4048 15 42
4049 42 16
4050 16 42
4051 42 17
4052 17 42
4053 42 18
4054 18 42
4055 42 19
4056 19 42
4057 42 20
4058 20 42
4059 42 21
4060 21 42
4061 42 22
4062 22 42
4063 42 23
4064 23 42
4065 42 24
4066 24 42
4067 42 25
4068 25 42
4069 42 26
4070 26 42
4071 42 27
4072 27 42
4073 42 28
4074 28 42
4075 42 29
4076 29 42
4077 42 30
4078 30 42
4079 42 31
4080 31 42
4081 42 32
4082 32 42
4083 42 33
4084 33 42
4085 42 34
4086 34 42
4087 42 35
4088 35 42
4089 42 36
4090 36 42
4091 42 37
4092 37 42
4093 42 38
4094 38 42
4095 42 39
4096 39 42
4097 42 40
4098 40 42
4099 42 41
4100 41 42
4101 42 43
4102 43 42
4103 42 44
4104 44 42
4105 42 45
4106 45 42
4107 42 46
4108 46 42
4109 42 47
4110 47 42
4111 42 48
4112 48 42
4113 42 49
4114 49 42
4115 42 50
4116 50 42
4117 43 1
4118 1 43
4119 43 2
4120 2 43
4121 43 3
4122 3 43
4123 43 4
4124 4 43
4125 43 5
4126 5 43
4127 43 6
4128 6 43
4129 43 7
4130 7 43
4131 43 8
4132 8 43
4133 43 9
4134 9 43
4135 43 10
4136 10 43
